departamento,anio,siniestros_totales
MOQUEGUA,2021,495
MOQUEGUA,2022,657
MOQUEGUA,2023,754
MOQUEGUA,2024,564
PASCO,2008,90
PASCO,2009,205
PASCO,2010,181
PASCO,2011,216
PASCO,2012,143
PASCO,2013,90
PASCO,2014,50
PASCO,2015,95
PASCO,2016,44
PASCO,2017,121
PASCO,2018,258
PASCO,2019,552
PASCO,2020,328
PASCO,2021,298
PASCO,2022,327
PASCO,2023,304
PASCO,2024,381
PIURA,2008,1593
PIURA,2009,1585
PIURA,2010,1854
PIURA,2011,1824
PIURA,2012,3300
PIURA,2013,4089
PIURA,2014,3834
PIURA,2015,3867
PIURA,2016,3480
PIURA,2017,2303
PIURA,2018,2512
PIURA,2019,4066
PIURA,2020,2636
PIURA,2021,3467
PIURA,2022,3947
PIURA,2023,3367
PIURA,2024,3096
PUNO,2008,929
PUNO,2009,931
PUNO,2010,992
PUNO,2011,1368
PUNO,2012,974
PUNO,2013,1154
PUNO,2014,953
PUNO,2015,922
PUNO,2016,765
PUNO,2017,968
PUNO,2018,999
PUNO,2019,1179
PUNO,2020,602
PUNO,2021,1266
PUNO,2022,1484
PUNO,2023,1196
PUNO,2024,1287
SAN MARTIN,2008,382
SAN MARTIN,2009,491
SAN MARTIN,2010,832
SAN MARTIN,2011,911
SAN MARTIN,2012,1057
SAN MARTIN,2013,1281
SAN MARTIN,2014,1269
SAN MARTIN,2015,1168
SAN MARTIN,2016,2002
SAN MARTIN,2017,1533
SAN MARTIN,2018,1343
SAN MARTIN,2019,1260
SAN MARTIN,2020,880
SAN MARTIN,2021,1092
SAN MARTIN,2022,1279
SAN MARTIN,2023,1510
SAN MARTIN,2024,1746
TACNA,2008,243
TACNA,2009,1037
TACNA,2010,1208
TACNA,2011,1289
TACNA,2012,1465
TACNA,2013,1608
TACNA,2014,1349
TACNA,2015,1142
TACNA,2016,910
TACNA,2017,781
TACNA,2018,983
TACNA,2019,1297
TACNA,2020,719
TACNA,2021,780
TACNA,2022,947
TACNA,2023,1037
TACNA,2024,1160
TUMBES,2008,309
TUMBES,2009,295
TUMBES,2010,336
TUMBES,2011,318
TUMBES,2012,505
TUMBES,2013,483
TUMBES,2014,438
TUMBES,2015,433
TUMBES,2016,534
TUMBES,2017,462
TUMBES,2018,503
TUMBES,2019,395
TUMBES,2020,254
TUMBES,2021,376
TUMBES,2022,366
TUMBES,2023,303
TUMBES,2024,264
UCAYALI,2008,1397
UCAYALI,2009,1129
UCAYALI,2010,1293
UCAYALI,2011,1143
UCAYALI,2012,1208
UCAYALI,2013,1150
UCAYALI,2014,1060
UCAYALI,2015,815
UCAYALI,2016,434
UCAYALI,2017,450
UCAYALI,2018,738
UCAYALI,2019,703
UCAYALI,2020,587
UCAYALI,2021,504
UCAYALI,2022,512
UCAYALI,2023,566
UCAYALI,2024,708
