departamento,anio,franja_horaria,siniestros
APURIMAC,2013,02:00 A 08:00,83
APURIMAC,2014,08:00 A 14:00,179
APURIMAC,2014,14:00 A 20:00,237
APURIMAC,2014,20:00 A 02:00,133
APURIMAC,2014,02:00 A 08:00,94
APURIMAC,2015,00:01 A 02:00,20
APURIMAC,2015,02:01 A 04:00,35
APURIMAC,2015,04:01 A 06:00,43
APURIMAC,2015,06:01 A 08:00,64
APURIMAC,2015,08:01 A 10:00,40
APURIMAC,2015,10:01 A 12:00,42
APURIMAC,2015,12:01 A 14:00,46
APURIMAC,2015,14:01 A 16:00,72
APURIMAC,2015,16:01 A 18:00,31
APURIMAC,2015,18:01 A 20:00,67
APURIMAC,2015,20:01 A 22:00,43
APURIMAC,2015,22:01 A 24:00,28
APURIMAC,2016,00:01 A 02:00,28
APURIMAC,2016,02:01 A 04:00,26
APURIMAC,2016,04:01 A 06:00,28
APURIMAC,2016,06:01 A 08:00,19
APURIMAC,2016,08:01 A 10:00,29
APURIMAC,2016,10:01 A 12:00,31
APURIMAC,2016,12:01 A 14:00,42
APURIMAC,2016,14:01 A 16:00,38
APURIMAC,2016,16:01 A 18:00,35
APURIMAC,2016,18:01 A 20:00,37
APURIMAC,2016,20:01 A 22:00,16
APURIMAC,2016,22:01 A 24:00,34
APURIMAC,2017,00:01 A 02:00,16
APURIMAC,2017,02:01 A 04:00,38
APURIMAC,2017,04:01 A 06:00,41
APURIMAC,2017,06:01 A 08:00,51
APURIMAC,2017,08:01 A 10:00,41
APURIMAC,2017,10:01 A 12:00,27
APURIMAC,2017,12:01 A 14:00,54
APURIMAC,2017,14:01 A 16:00,32
APURIMAC,2017,16:01 A 18:00,43
APURIMAC,2017,18:01 A 20:00,76
APURIMAC,2017,20:01 A 22:00,34
APURIMAC,2017,22:01 A 24:00,20
APURIMAC,2018,00:01 A 02:00,26
APURIMAC,2018,02:01 A 04:00,36
APURIMAC,2018,04:01 A 06:00,46
APURIMAC,2018,06:01 A 08:00,82
APURIMAC,2018,08:01 A 10:00,89
APURIMAC,2018,10:01 A 12:00,91
APURIMAC,2018,12:01 A 14:00,68
APURIMAC,2018,14:01 A 16:00,73
APURIMAC,2018,16:01 A 18:00,80
APURIMAC,2018,18:01 A 20:00,98
APURIMAC,2018,20:01 A 22:00,72
APURIMAC,2018,22:01 A 24:00,57
APURIMAC,2019,00:01 A 02:00,29
APURIMAC,2019,02:01 A 04:00,22
APURIMAC,2019,04:01 A 06:00,60
APURIMAC,2019,06:01 A 08:00,75
APURIMAC,2019,08:01 A 10:00,71
APURIMAC,2019,10:01 A 12:00,74
APURIMAC,2019,12:01 A 14:00,78
APURIMAC,2019,14:01 A 16:00,86
APURIMAC,2019,16:01 A 18:00,98
APURIMAC,2019,18:01 A 20:00,77
APURIMAC,2019,20:01 A 22:00,83
APURIMAC,2019,22:01 A 24:00,55
APURIMAC,2020,00:01 A 02:00,12
APURIMAC,2020,02:01 A 04:00,30
APURIMAC,2020,04:01 A 06:00,43
APURIMAC,2020,06:01 A 08:00,66
APURIMAC,2020,08:01 A 10:00,62
APURIMAC,2020,10:01 A 12:00,62
APURIMAC,2020,12:01 A 14:00,67
APURIMAC,2020,14:01 A 16:00,69
APURIMAC,2020,16:01 A 18:00,74
APURIMAC,2020,18:01 A 20:00,61
APURIMAC,2020,20:01 A 22:00,58
APURIMAC,2020,22:01 A 24:00,33
APURIMAC,2021,00:01 A 02:00,23
APURIMAC,2021,02:01 A 04:00,46
APURIMAC,2021,04:01 A 06:00,54
APURIMAC,2021,06:01 A 08:00,86
APURIMAC,2021,08:01 A 10:00,93
APURIMAC,2021,10:01 A 12:00,101
APURIMAC,2021,12:01 A 14:00,85
APURIMAC,2021,14:01 A 16:00,93
APURIMAC,2021,16:01 A 18:00,100
APURIMAC,2021,18:01 A 20:00,125
APURIMAC,2021,20:01 A 22:00,85
APURIMAC,2021,22:01 A 24:00,33
APURIMAC,2022,00:01 A 02:00,24
APURIMAC,2022,02:01 A 04:00,27
APURIMAC,2022,04:01 A 06:00,58
APURIMAC,2022,06:01 A 08:00,72
APURIMAC,2022,08:01 A 10:00,76
APURIMAC,2022,10:01 A 12:00,114
APURIMAC,2022,12:01 A 14:00,90
APURIMAC,2022,14:01 A 16:00,89
APURIMAC,2022,16:01 A 18:00,116
APURIMAC,2022,18:01 A 20:00,85
APURIMAC,2022,20:01 A 22:00,77
APURIMAC,2022,22:01 A 24:00,32
APURIMAC,2023,00:01 A 02:00,21
APURIMAC,2023,02:01 A 04:00,37
APURIMAC,2023,04:01 A 06:00,48
