departamento,anio,sexo,grupo_etario,fallecidos
AMAZONAS,2022,FEMENINO,DE 18 A 29 AÑOS,0
AMAZONAS,2022,FEMENINO,DE 30 A 59 AÑOS,0
AMAZONAS,2022,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2023,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2023,MASCULINO,DE 6 A 11 AÑOS,0
AMAZONAS,2023,MASCULINO,DE 12 A 17 AÑOS,0
AMAZONAS,2023,MASCULINO,DE 18 A 29 AÑOS,5
AMAZONAS,2023,MASCULINO,DE 30 A 59 AÑOS,10
AMAZONAS,2023,MASCULINO,DE 60 A MÁS AÑOS,4
AMAZONAS,2023,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2023,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2023,FEMENINO,DE 12 A 17 AÑOS,0
AMAZONAS,2023,FEMENINO,DE 18 A 29 AÑOS,0
AMAZONAS,2023,FEMENINO,DE 30 A 59 AÑOS,1
AMAZONAS,2023,FEMENINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2024,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2024,MASCULINO,DE 6 A 11 AÑOS,0
AMAZONAS,2024,MASCULINO,DE 12 A 17 AÑOS,4
AMAZONAS,2024,MASCULINO,DE 18 A 29 AÑOS,14
AMAZONAS,2024,MASCULINO,DE 30 A 59 AÑOS,20
AMAZONAS,2024,MASCULINO,DE 60 A MÁS AÑOS,7
AMAZONAS,2024,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2024,FEMENINO,DE 6 A 11 AÑOS,0
AMAZONAS,2024,FEMENINO,DE 12 A 17 AÑOS,3
AMAZONAS,2024,FEMENINO,DE 18 A 29 AÑOS,1
AMAZONAS,2024,FEMENINO,DE 30 A 59 AÑOS,2
AMAZONAS,2024,FEMENINO,DE 60 A MÁS AÑOS,3
ANCASH,2008,MASCULINO,MENOR DE 18 AÑOS,15
ANCASH,2008,MASCULINO,MAYOR DE 18 AÑOS,74
ANCASH,2008,FEMENINO,MENOR DE 18 AÑOS,25
ANCASH,2008,FEMENINO,MAYOR DE 18 AÑOS,20
ANCASH,2009,MASCULINO,MENOR DE 18 AÑOS,4
ANCASH,2009,MASCULINO,MAYOR DE 18 AÑOS,83
ANCASH,2009,FEMENINO,MENOR DE 18 AÑOS,2
ANCASH,2009,FEMENINO,MAYOR DE 18 AÑOS,21
ANCASH,2010,MASCULINO,DE 0 A 5 AÑOS,4
ANCASH,2010,MASCULINO,DE 6 A 12 AÑOS,6
ANCASH,2010,MASCULINO,DE 13 A 18 AÑOS,28
ANCASH,2010,MASCULINO,DE 19 A 25 AÑOS,43
ANCASH,2010,MASCULINO,DE 26 A 60 AÑOS,60
ANCASH,2010,MASCULINO,DE 60 A MÁS AÑOS,7
ANCASH,2010,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2010,FEMENINO,DE 6 A 12 AÑOS,3
ANCASH,2010,FEMENINO,DE 13 A 18 AÑOS,7
ANCASH,2010,FEMENINO,DE 19 A 25 AÑOS,22
ANCASH,2010,FEMENINO,DE 26 A 60 AÑOS,33
ANCASH,2010,FEMENINO,DE 60 A MÁS AÑOS,3
ANCASH,2011,MASCULINO,DE 0 A 5 AÑOS,31
ANCASH,2011,MASCULINO,DE 6 A 12 AÑOS,38
ANCASH,2011,MASCULINO,DE 13 A 18 AÑOS,45
ANCASH,2011,MASCULINO,DE 19 A 25 AÑOS,47
ANCASH,2011,MASCULINO,DE 26 A 60 AÑOS,44
ANCASH,2011,MASCULINO,DE 60 A MÁS AÑOS,15
ANCASH,2011,FEMENINO,DE 0 A 5 AÑOS,4
ANCASH,2011,FEMENINO,DE 6 A 12 AÑOS,5
ANCASH,2011,FEMENINO,DE 13 A 18 AÑOS,21
ANCASH,2011,FEMENINO,DE 19 A 25 AÑOS,16
ANCASH,2011,FEMENINO,DE 26 A 60 AÑOS,21
ANCASH,2011,FEMENINO,DE 60 A MÁS AÑOS,4
ANCASH,2012,MASCULINO,DE 0 A 5 AÑOS,2
ANCASH,2012,MASCULINO,DE 6 A 12 AÑOS,9
ANCASH,2012,MASCULINO,DE 13 A 18 AÑOS,14
ANCASH,2012,MASCULINO,DE 19 A 25 AÑOS,24
ANCASH,2012,MASCULINO,DE 26 A 60 AÑOS,33
ANCASH,2012,MASCULINO,DE 60 A MÁS AÑOS,7
ANCASH,2012,FEMENINO,DE 0 A 5 AÑOS,4
ANCASH,2012,FEMENINO,DE 6 A 12 AÑOS,12
ANCASH,2012,FEMENINO,DE 13 A 18 AÑOS,12
ANCASH,2012,FEMENINO,DE 19 A 25 AÑOS,10
ANCASH,2012,FEMENINO,DE 26 A 60 AÑOS,11
ANCASH,2012,FEMENINO,DE 60 A MÁS AÑOS,6
ANCASH,2013,MASCULINO,DE 0 A 5 AÑOS,4
ANCASH,2013,MASCULINO,DE 6 A 12 AÑOS,7
ANCASH,2013,MASCULINO,DE 13 A 18 AÑOS,10
ANCASH,2013,MASCULINO,DE 19 A 25 AÑOS,21
ANCASH,2013,MASCULINO,DE 26 A 60 AÑOS,46
ANCASH,2013,MASCULINO,DE 60 A MÁS AÑOS,13
ANCASH,2013,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2013,FEMENINO,DE 6 A 12 AÑOS,4
ANCASH,2013,FEMENINO,DE 13 A 18 AÑOS,3
ANCASH,2013,FEMENINO,DE 19 A 25 AÑOS,4
ANCASH,2013,FEMENINO,DE 26 A 60 AÑOS,9
ANCASH,2013,FEMENINO,DE 60 A MÁS AÑOS,2
ANCASH,2014,MASCULINO,DE 0 A 5 AÑOS,8
ANCASH,2014,MASCULINO,DE 6 A 12 AÑOS,4
ANCASH,2014,MASCULINO,DE 13 A 18 AÑOS,2
ANCASH,2014,MASCULINO,DE 19 A 25 AÑOS,38
ANCASH,2014,MASCULINO,DE 26 A 60 AÑOS,76
ANCASH,2014,MASCULINO,DE 60 A MÁS AÑOS,9
ANCASH,2014,FEMENINO,DE 0 A 5 AÑOS,1
ANCASH,2014,FEMENINO,DE 6 A 12 AÑOS,0
ANCASH,2014,FEMENINO,DE 13 A 18 AÑOS,1
ANCASH,2014,FEMENINO,DE 19 A 25 AÑOS,10
ANCASH,2014,FEMENINO,DE 26 A 60 AÑOS,13
ANCASH,2014,FEMENINO,DE 60 A MÁS AÑOS,7
ANCASH,2015,MASCULINO,DE 0 A 5 AÑOS,18
ANCASH,2015,MASCULINO,DE 6 A 12 AÑOS,6
ANCASH,2015,MASCULINO,DE 13 A 18 AÑOS,13
ANCASH,2015,MASCULINO,DE 19 A 25 AÑOS,30
ANCASH,2015,MASCULINO,DE 26 A 60 AÑOS,88
ANCASH,2015,MASCULINO,DE 60 A MÁS AÑOS,24
ANCASH,2015,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2015,FEMENINO,DE 6 A 12 AÑOS,2
ANCASH,2015,FEMENINO,DE 13 A 18 AÑOS,1
ANCASH,2015,FEMENINO,DE 19 A 25 AÑOS,2
ANCASH,2015,FEMENINO,DE 26 A 60 AÑOS,9
ANCASH,2015,FEMENINO,DE 60 A MÁS AÑOS,2
ANCASH,2016,MASCULINO,DE 0 A 5 AÑOS,11
ANCASH,2016,MASCULINO,DE 6 A 12 AÑOS,2
ANCASH,2016,MASCULINO,DE 13 A 18 AÑOS,26
ANCASH,2016,MASCULINO,DE 19 A 25 AÑOS,5
ANCASH,2016,MASCULINO,DE 26 A 60 AÑOS,69
ANCASH,2016,MASCULINO,DE 60 A MÁS AÑOS,4
ANCASH,2016,FEMENINO,DE 0 A 5 AÑOS,8
ANCASH,2016,FEMENINO,DE 6 A 12 AÑOS,2
ANCASH,2016,FEMENINO,DE 13 A 18 AÑOS,2
ANCASH,2016,FEMENINO,DE 19 A 25 AÑOS,3
ANCASH,2016,FEMENINO,DE 26 A 60 AÑOS,1
ANCASH,2016,FEMENINO,DE 60 A MÁS AÑOS,4
ANCASH,2017,MASCULINO,DE 0 A 5 AÑOS,10
ANCASH,2017,MASCULINO,DE 6 A 12 AÑOS,5
ANCASH,2017,MASCULINO,DE 13 A 18 AÑOS,2
ANCASH,2017,MASCULINO,DE 19 A 25 AÑOS,3
ANCASH,2017,MASCULINO,DE 26 A 60 AÑOS,48
ANCASH,2017,MASCULINO,DE 60 A MÁS AÑOS,7
ANCASH,2017,FEMENINO,DE 0 A 5 AÑOS,0
ANCASH,2017,FEMENINO,DE 6 A 12 AÑOS,0
ANCASH,2017,FEMENINO,DE 13 A 18 AÑOS,1
ANCASH,2017,FEMENINO,DE 19 A 25 AÑOS,4
ANCASH,2017,FEMENINO,DE 26 A 60 AÑOS,7
ANCASH,2017,FEMENINO,DE 60 A MÁS AÑOS,12
ANCASH,2018,MASCULINO,DE 0 A 5 AÑOS,4
ANCASH,2018,MASCULINO,DE 6 A 11 AÑOS,3
ANCASH,2018,MASCULINO,DE 12 A 17 AÑOS,1
ANCASH,2018,MASCULINO,DE 18 A 29 AÑOS,17
ANCASH,2018,MASCULINO,DE 30 A 59 AÑOS,49
ANCASH,2018,MASCULINO,DE 60 A MÁS AÑOS,18
ANCASH,2018,FEMENINO,DE 0 A 5 AÑOS,3
ANCASH,2018,FEMENINO,DE 6 A 11 AÑOS,0
ANCASH,2018,FEMENINO,DE 12 A 17 AÑOS,2
ANCASH,2018,FEMENINO,DE 18 A 29 AÑOS,3
ANCASH,2018,FEMENINO,DE 30 A 59 AÑOS,10
ANCASH,2018,FEMENINO,DE 60 A MÁS AÑOS,6
ANCASH,2019,MASCULINO,DE 0 A 5 AÑOS,0
ANCASH,2019,MASCULINO,DE 6 A 11 AÑOS,1
ANCASH,2019,MASCULINO,DE 12 A 17 AÑOS,8
ANCASH,2019,MASCULINO,DE 18 A 29 AÑOS,35
ANCASH,2019,MASCULINO,DE 30 A 59 AÑOS,31
ANCASH,2019,MASCULINO,DE 60 A MÁS AÑOS,17
ANCASH,2019,FEMENINO,DE 0 A 5 AÑOS,1
ANCASH,2019,FEMENINO,DE 6 A 11 AÑOS,0
ANCASH,2019,FEMENINO,DE 12 A 17 AÑOS,0
ANCASH,2019,FEMENINO,DE 18 A 29 AÑOS,2
ANCASH,2019,FEMENINO,DE 30 A 59 AÑOS,10
ANCASH,2019,FEMENINO,DE 60 A MÁS AÑOS,9
ANCASH,2020,MASCULINO,DE 0 A 5 AÑOS,1
